delay,state
0    ,"[[4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 2, 2, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 2, 2, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 2, 2, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 3, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[2, 2, 3, 3, 3, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[2, 2, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[3, 3, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 0, 2, 2, 2], [3, 3, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 3, 2, 2, 2], [3, 3, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 3, 0, 0, 0], [3, 3, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[3, 3, 3, 3, 3, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[3, 3, 0, 0, 0, 4], [4, 4, 4, 4, 4, 4]]"
2.175,"[[3, 3, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 0, 0, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 0, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 0, 0, 2, 2, 2], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 3, 3, 3, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 0, 0, 5, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[2, 2, 2, 5, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[2, 2, 2, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[2, 2, 2, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[0, 0, 0, 2, 2, 0], [4, 4, 4, 4, 4, 4]]"
1.65 ,"[[4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 0, 0, 2, 0, 0], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 4, 4, 2, 0, 0], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[0, 4, 4, 2, 5, 5], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[5, 4, 4, 2, 5, 5], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[5, 4, 4, 0, 5, 5], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[5, 4, 4, 0, 0, 0], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[5, 0, 0, 0, 0, 0], [4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
1.125,"[[4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 4, 4, 4, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[5, 0, 4, 4, 4, 0], [4, 4, 4, 4, 4, 4]]"
2.175,"[[5, 0, 4, 4, 4, 3], [4, 4, 4, 4, 4, 4]]"
2.175,"[[5, 3, 4, 4, 4, 3], [4, 4, 4, 4, 4, 4]]"
2.175,"[[5, 3, 0, 0, 0, 3], [4, 4, 4, 4, 4, 4]]"
2.175,"[[5, 0, 0, 0, 0, 3], [4, 4, 4, 4, 4, 4]]"
2.175,"[[0, 0, 0, 0, 0, 3], [4, 4, 4, 4, 4, 4]]"
2.175,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 0, 0, 0, 4, 4], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 2, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4]]"
0.6  ,"[[0, 2, 5, 5, 5, 5], [4, 4, 4, 4, 4, 4]]"
